title	onet_code	onet_name	job_zone	company	city	state	description_all
LEAD LIFEGUARD	33-9092.00	"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"	2	Circus Circus Las Vegas	LAS VEGAS	NV	* Provide assistance in assuring departmental staff complete their assigned tasks and adhere to company and pool policies and procedures.\\n* Provide assistance in assuring departmental staff is trained with safety procedures and company policies.\\n* Provide excellent guest service consistent with property’s service standards.\\n* Control quality of services provided within department.\\n* Works closely with supervisory and managerial staff to develop overall skills and growth.\\n* Provide assistance to Pool Manager in ensuring pool operations run smoothly.\\n* Assist in leading staff with a professional team building demeanor.\\n* Performs all other job related duties as assigned.
Paint Technician	51-9121.00	"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"	2	Belcan TechServices	SPRINGFIELD	OH	"We are currently recruiting for a Paint Technician for a Dayton area client. The ideal candidate would have previous work experience in manufacturing environment, be willing to learn a new skill set or have a previous painting and crance experience. The primary responsibility will be working in a paint booth applying paint to fabricated components for lifting systems. This is a first shift position with primary hours of 7am to 3pm with potential OT. The pay rate is $12.00/hr. This is an immediate need!"
Public Health Nutrition Unit Manager	29-2051.00	Dietetic Technicians	2	North Carolina Office of State Personnel	0	NC	"60040854\\n\\n14-06189\\n\\nThe maximum salary that can be paid for this position will be $78,204\\n\\nQualified applicants must meet and reflect on their application training and experience and all\\n \\n\\n \\nMaster’s degree in nutrition or public health nutrition with five years of administrative or supervisory experience. Knowledge of principles and practices of normal and therapeutic nutrition as it relates to growth, chronic disease and nutrition needs across the lifespan for women, infants and children. Experience with federal nutrition programs. Experience in the WIC Program and utilization of data to evaluate and direct program decisions and policies.\\n\\nManagement prefers:   Experience maternal and child nutrition policy. Strong working knowledge of Microsoft Office including PowerPoint, Access, Excel, Word and Outlook.\\n\\nRequired license or certification: Valid driver’s license. Registered Dietitian with the Academy of Nutrition and Dietetics, Commission of Dietetic Registration."
Front Office Coordinator	43-6013.00	Medical Secretaries	2	Provisional Staffing Services	SPOKANE	WA	"We are seeking an energetic/outgoing Front Office Coordinator for a leading commercial contractor in the pacific Northwest. Must be comfortable answering multiple phone lines, greeting customers, proficient in Microsoft Office, filing, scanning, faxing and other administrative duties. Minimum of one year prior experience in similar work environment. This position has the possibility to go permanent for the right candidate. For immediate consideration, please email resume to Heidi@provisional.com. Pay is $12/hour"
Expeditor -UC Medical Center- Central Service	43-5061.00	"Production, Planning, and Expediting Clerks"	2	UC Health	CINCINNATI	OH	"Primary Purpose: Responsible for the receiving, tracking, ordering, shipping and reporting of equipment within UC Health. Documents and tracks all delivery and disposal. Ensures various product license compliance on all major applications in use within UC Health.Knowledge and Skills: Education: High school diploma or GED. Years of Experience: One to two years' experience in all facets of hardware, part number tracking and inventory management preferred. Required Skills and Knowledge:Organizational skills, familiarity with inventory, tracking, reporting, ordering and disposing."
Direct Service Professional - 24 Hour	39-9021.00	Personal Care Aides	2	REACH Inc.	JUNEAU	AK	"Summary Position Statement: These positions provide a primary role in supervising and supporting adults experiencing developmental disabilities within various 24 hour care settings A 24 hour Direct Service Professional’s responsibility is to provide support and aid to clients in accomplishing goals and objectives. This position offers various work schedules and shifts, including 12 hour and 24 hour shifts in various worksites throughout the community. This position of Position Requirements: Education & Experience: High School Diploma or G.E.D. required. AA or BA in related field preferred. Minimum six months experience (paid or volunteer) providing direct patient/client care or an equivalent level of education or training which demonstrates the ability to perform the essential job functions. Qualifications: Minimum age 21"
Sales Consultant	41-2031.00	Retail Salespersons	2	Crescens Inc.	SEATTLE	WA	"Job Title: Sales ConsultantLocation:Seattle, WA/Atlanta, GADuration: Long TermType of Hire:CTC/CTH/Full TimeCandidate can be out of college and with a year or two experience in sales.Candidate MUST BE LOCAL and available for a face to face either tomorrow or day afterCompensation will be based on individual capacities, expertise, skills etc.Candidate having experience in Business Development and sales would be given preferrence."
"Messaging Exchange - 2003, 14-075"	43-3071.00	Tellers	2	"MTS Technologies, Inc."	BOSSIER CITY	LA	"Messaging Exchange -2003, 14-075 Job Location: Bossier City, LA MTS Technologies, Inc. (MTS) is a privately-held Service-Disabled, Veteran-Owned Small Business (VOSB) and Minority Business Enterprise (MBE) with over 23 years’ experience offering professional services and solutions to the Federal Government and leading, global organizations. MTS offers a full range of capabilities to increase performance and identify the Education, Experience and Technical Skills Required Bachelor’s Degree from an accredited college or university with five years of related experience. Equivalents: High School diploma with nine years of specialized experience in related field, or Associates Degree with seven years of experience, or Master’s Degree with three years experience, or Doctorate Degree with one year experience. Other Qualifications:"
Local Class A Driver	53-3032.00	Heavy and Tractor-Trailer Truck Drivers	2	"Baker Commodities, Inc."	KERMAN	CA	"Pick up material from customer location and transport to the company facility as assigned. Secures and loads necessary supplies onto to truck. Removes and replaces collection barrel(s) at customer locations and services as necessary. Accurately complete daily paperwork Maintains telephone or radio contact with supervisor to receive delivery instructions. Inspect truck equipment and supplies such as tires, lights, brakes, gas, oil and water. May Valid Class ACommercial Driver’s License and current DOT medical card. Must have doubles endorsement and able to get tank endorsement within 30 days of hire. Must have high school diploma or equivalent. Must have 2 years of commercial vehicle driving experience and be at least 23 years of age or older. Must be able to physically climb in and out of the commercial vehicle and occasionally lift and/or move up to 100 pounds. Must have no ‘at fau"
PBX OPERATOR - KMC	43-2011.00	"Switchboard Operators, Including Answering Service"	2	Kettering Medical Center	KETTERING	OH	"Description Responsible for responding to incoming/in-house telephone calls and routing calls or taking messages as appropriate for six hospital facilities. Update On-Call schedules for various departments. Will also be responsible for operating an electronic telephone switchboard, a physician’s registry terminal and an institutional paging system. Requirements * Previous call-center experience or hospital experience strongly preferred. * High-school diploma or GED *Requisition Number:* 14-1564 *Title:* PBX OPERATOR - KMC *Department:* PBX - 937093 *Location:* Kettering Medical Center *Shift:* Varies *Job Status:* Resource/Pool *Temporary:* No *Hours per Bi-Weekly Pay Period:* 0"
